time,force_1,force_2,acc_1,acc_2,acc_3,acc_4
0.32,0.7112266,-0.7112266,-0.0003448656,-0.0002115498,0.0002107413,0.0003359257
0.325,0.7933472,-0.7933472,-0.0002867423,-0.0001781316,0.0001846875,0.0002951868
0.33,-0.3487251,0.3487251,-0.0002050894,-0.0001236521,0.0001177539,0.0002008856
0.335,-0.4623518,0.4623518,-0.0001192937,-6.690273e-05,7.532323e-05,0.0001219083
0.34,0.8579759,-0.8579759,-5.277713e-05,-2.423018e-05,2.703178e-05,3.322406e-05
0.345,-0.1913043,0.1913043,5.109932e-05,2.567241e-05,-2.675245e-05,-4.214047e-05
0.35,-1.275686,1.275686,0.0001500688,8.436999e-05,-7.859978e-05,-0.0001350682
0.355,-1.133287,1.133287,0.0001730762,0.0001021042,-0.0001075556,-0.000177002
0.36,-0.9194523,0.9194523,0.0001322774,9.349292e-05,-8.944289e-05,-0.0001369532
0.365,0.4971607,-0.4971607,7.643046e-05,5.378678e-05,-5.704333e-05,-8.445367e-05
0.37,0.1424257,-0.1424257,2.611052e-05,1.23113e-05,-2.009081e-05,-2.586586e-05
0.375,0.6904854,-0.6904854,-1.812046e-05,-5.433975e-06,5.411765e-06,1.953692e-05
0.38,-0.4272526,0.4272526,-3.302034e-05,-1.493491e-05,1.292015e-05,2.780063e-05
0.385,0.1585397,-0.1585397,-4.52708e-05,-3.483322e-05,3.525811e-05,5.1707e-05
0.39,0.6255904,-0.6255904,-8.697346e-05,-4.526199e-05,4.066288e-05,7.034241e-05
0.395,-0.3093465,0.3093465,-6.501118e-05,-3.564874e-05,4.324885e-05,8.360488e-05
0.4,0.4567752,-0.4567752,-8.072382e-05,-4.352005e-05,3.42002e-05,4.29333e-05
0.405,-0.6619259,0.6619259,-4.986134e-05,-2.632625e-05,3.24221e-05,5.271684e-05
0.41,-0.3630538,0.3630538,-6.623257e-05,-3.136647e-05,4.105201e-05,5.304364e-05
0.415,-0.3817379,0.3817379,-7.75829e-05,-4.99396e-05,4.878596e-05,7.25961e-05
0.42,-1.19584,1.19584,-0.0001100669,-8.16894e-05,6.707257e-05,0.0001230438
0.425,0.4869725,-0.4869725,-0.0002056959,-0.0001243786,0.0001289707,0.0001869447
0.43,-0.4694023,0.4694023,-0.0002602205,-0.0001659758,0.0001710592,0.0002689096
0.435,0.01249412,-0.01249412,-0.0003360167,-0.0002192734,0.0002107604,0.0003385934
0.44,0.4807467,-0.4807467,-0.0003996907,-0.0002463682,0.0002438177,0.0004102129
0.445,0.4465312,-0.4465312,-0.0004430148,-0.0002719408,0.0002735854,0.0004365409
0.45,0.6653851,-0.6653851,-0.0004246752,-0.0002655011,0.0002686175,0.0004395232
0.455,-0.09848548,0.09848548,-0.0003928542,-0.000238218,0.0002473676,0.0004044791
0.46,-0.4232983,0.4232983,-0.0003610118,-0.0002270669,0.0002211491,0.0003518071
0.465,-0.07971821,0.07971821,-0.000323529,-0.0002007306,0.0001950915,0.000312972
0.47,-1.687334,1.687334,-0.0002906065,-0.0001828873,0.0001760739,0.0002743631
0.475,-1.447112,1.447112,-0.0003227163,-0.0002000815,0.0001898562,0.0003096787
0.48,-1.3227,1.3227,-0.0004048151,-0.0002489042,0.0002472457,0.0004018006
0.485,-0.9972468,0.9972468,-0.000534462,-0.0003353029,0.0003310936,0.0005300262
0.49,0.3997742,-0.3997742,-0.0006996457,-0.0004389683,0.0004278409,0.0007006718
0.495,-0.9054791,0.9054791,-0.0008303821,-0.0005223986,0.0005164847,0.0008320366
0.5,-0.3781626,0.3781626,-0.0009862312,-0.0006155578,0.0006025425,0.0009715222
0.505,1.299228,-1.299228,-0.001096736,-0.0006800199,0.0006807419,0.001094272
0.51,-0.356264,0.356264,-0.001156791,-0.0007228576,0.0007211774,0.001149293
0.515,0.7375156,-0.7375156,-0.001176519,-0.000743817,0.0007379545,0.001195899
0.52,-0.9336177,0.9336177,-0.001183992,-0.0007304554,0.0007346163,0.001173373
0.525,-0.2054376,0.2054376,-0.001167307,-0.00071603,0.00072154,0.001169559
0.53,-0.9500221,0.9500221,-0.001140851,-0.0007016703,0.0006938459,0.001135761
0.535,-0.3390331,0.3390331,-0.00110212,-0.0006830844,0.0006890676,0.001117363
0.54,0.8403081,-0.8403081,-0.001088352,-0.0006643018,0.0006682837,0.001071051
0.545,-1.72732,1.72732,-0.001002497,-0.0006190827,0.0006230929,0.0009997966
0.55,0.4344236,-0.4344236,-0.000962852,-0.000593203,0.0005825624,0.0009460647
0.555,0.2377356,-0.2377356,-0.0008728952,-0.0005347695,0.000540673,0.0008853319
0.56,-0.59415,0.59415,-0.000763903,-0.0004699944,0.0004716116,0.0007680725
0.565,-1.446058,1.446058,-0.000666448,-0.000424362,0.0004083728,0.0006798222
0.57,0.07212951,-0.07212951,-0.0006123833,-0.0003739393,0.0003828871,0.0006031516
0.575,-0.5294927,0.5294927,-0.0005572401,-0.000336295,0.0003432056,0.0005469468
0.58,0.2326762,-0.2326762,-0.0004829323,-0.0002988552,0.0003029643,0.0004732137
0.585,0.02185215,-0.02185215,-0.0004113226,-0.000251192,0.0002537548,0.0004190225
0.59,1.601779,-1.601779,-0.0003152651,-0.0001939025,0.0001954873,0.0003127928
0.595,-0.2393556,0.2393556,-0.0001656797,-9.08731e-05,9.559159e-05,0.0001671061
0.6,-1.023497,1.023497,-1.951912e-06,-4.396253e-06,-1.31878e-06,-1.344988e-05
0.605,0.1792756,-0.1792756,0.0001151308,5.209979e-05,-7.428776e-05,-0.0001148318
0.61,0.2199967,-0.2199967,0.0002130949,0.0001380456,-0.0001347377,-0.0002296487
0.615,1.359188,-1.359188,0.0003288608,0.0002145153,-0.0002097941,-0.0003241336
0.62,0.8351112,-0.8351112,0.0005087498,0.0003106669,-0.0003083503,-0.0005056519
0.625,0.3568711,-0.3568711,0.0006735983,0.0004220156,-0.0004289559,-0.000690833
0.63,1.463303,-1.463303,0.0008709219,0.0005480523,-0.0005537867,-0.0008862674
0.635,-1.188763,1.188763,0.00108501,0.0006754464,-0.0006744246,-0.00108932
0.64,-0.6397515,0.6397515,0.001230848,0.0007550355,-0.0007619061,-0.001238402
0.645,-0.9265759,0.9265759,0.001321547,0.0008113605,-0.0008225925,-0.001310179
0.65,-0.3898098,0.3898098,0.001334817,0.0008130491,-0.0008272297,-0.00133854
0.655,-1.376686,1.376686,0.00128351,0.000788562,-0.000792104,-0.001257423
0.66,0.6351509,-0.6351509,0.001142275,0.0007059213,-0.0007159551,-0.001139954
0.665,-0.2222227,0.2222227,0.001023351,0.0006329796,-0.0006198802,-0.001020842
0.67,-1.470806,1.470806,0.0008303862,0.0005097544,-0.0005129706,-0.0008347638
0.675,-1.015579,1.015579,0.0005942836,0.0003767917,-0.0003652975,-0.0005851525
0.68,0.3135138,-0.3135138,0.0002933639,0.0001918144,-0.0001782274,-0.0002857451
0.685,0.8381266,-0.8381266,1.112031e-05,-4.100426e-06,1.538259e-06,-7.164455e-06
0.69,1.996731,-1.996731,-0.0002448227,-0.0001572445,0.0001498188,0.0002528333
0.695,2.913862,-2.913862,-0.0003832917,-0.0002418827,0.0002498621,0.000380607
0.7,0.4144094,-0.4144094,-0.0004252307,-0.0002523491,0.0002625317,0.0004170565
0.705,-0.9895381,0.9895381,-0.0003967156,-0.0002538731,0.000252424,0.0004030045
0.71,-2.132046,2.132046,-0.0004169476,-0.0002658046,0.0002658777,0.0004085732
0.715,0.2677115,-0.2677115,-0.0005103208,-0.0003104615,0.0003127874,0.0005215671
0.72,-0.8129411,0.8129411,-0.0006025052,-0.0003651034,0.0003687441,0.000606769
0.725,-0.4153573,0.4153573,-0.0006905366,-0.0004262964,0.0004254727,0.000680529
0.73,-0.6120968,0.6120968,-0.0007806165,-0.0004867506,0.0004867527,0.0007905253
0.735,-0.1407909,0.1407909,-0.0008800804,-0.0005390969,0.0005464785,0.0008790647
0.74,1.06598,-1.06598,-0.0009737999,-0.0005985355,0.0005927837,0.00096071
0.745,0.1570486,-0.1570486,-0.0009924182,-0.0006119592,0.0005992484,0.0009933455
0.75,-0.1586348,0.1586348,-0.0009555495,-0.0005955321,0.0005990162,0.0009746949
0.755,-1.035654,1.035654,-0.0009264926,-0.0005741334,0.0005694481,0.0009372197
0.76,-1.674683,1.674683,-0.0009168266,-0.0005778674,0.0005677878,0.000925799
0.765,-0.4863079,0.4863079,-0.000948502,-0.0005943162,0.0005984131,0.000968815
0.77,-0.05378255,0.05378255,-0.001001337,-0.0006199053,0.0006211201,0.001002266
0.775,1.76793,-1.76793,-0.001022377,-0.0006221569,0.0006259729,0.00101493
0.78,0.1302745,-0.1302745,-0.0009202444,-0.0005700467,0.0005799325,0.0009420733
0.785,0.9827395,-0.9827395,-0.000812785,-0.0005002833,0.0005100026,0.0008116791
0.79,-0.4992956,0.4992956,-0.0006284191,-0.0003927106,0.0004000198,0.000634564
0.795,-1.184944,1.184944,-0.0004840729,-0.0002987029,0.0002916374,0.000476027
0.8,-0.9651168,0.9651168,-0.0003449327,-0.0002174195,0.0002213492,0.0003597463
0.805,-0.7252261,0.7252261,-0.0002755647,-0.000170218,0.000164759,0.0002643667
0.81,2.12847,-2.12847,-0.0001810922,-0.0001248556,0.0001139951,0.0002009661
0.815,-0.8213867,0.8213867,-6.298838e-05,-2.756393e-05,4.041555e-05,4.950462e-05
0.82,0.8384892,-0.8384892,8.108581e-05,4.932582e-05,-4.627641e-05,-8.342924e-05
0.825,-0.9029272,0.9029272,0.0002232408,0.0001412619,-0.0001446889,-0.000222667
0.83,0.931573,-0.931573,0.0003348739,0.0002089167,-0.0002072734,-0.0003386218
0.835,0.384951,-0.384951,0.0004737758,0.0002883393,-0.0002902277,-0.0004733596
0.84,-0.1566379,0.1566379,0.0006072853,0.0003900854,-0.000380447,-0.0006237622
0.845,-0.04076253,0.04076253,0.0007286521,0.0004471856,-0.0004554469,-0.0007379709
0.85,-0.6547877,0.6547877,0.0008241744,0.000506972,-0.0005069163,-0.0008221909
0.855,0.4460722,-0.4460722,0.0008663027,0.0005502375,-0.000549279,-0.0008681052
0.86,-0.4549835,0.4549835,0.0009103399,0.0005621024,-0.00055493,-0.0009181904
0.865,-1.225606,1.225606,0.0009132437,0.0005594338,-0.0005752518,-0.0008944782
0.87,-1.277938,1.277938,0.0008221023,0.0005109585,-0.0005096151,-0.000844645
0.875,0.1725879,-0.1725879,0.0006813963,0.0004116465,-0.0004240198,-0.0006831781
0.88,1.579091,-1.579091,0.0005177106,0.0003212234,-0.000329311,-0.0005362998
0.885,0.1599916,-0.1599916,0.0004321657,0.0002628347,-0.0002606345,-0.0004231602
0.89,-0.1186383,0.1186383,0.0003202105,0.0001925784,-0.0001963464,-0.0003273303
0.895,0.2858261,-0.2858261,0.0001942432,0.0001160742,-0.0001202768,-0.000199934
0.9,1.306002,-1.306002,0.0001204196,5.854821e-05,-6.750677e-05,-0.0001102018
0.905,0.2193825,-0.2193825,5.779278e-05,3.642935e-05,-2.354936e-05,-6.612117e-05
0.91,-0.4109272,0.4109272,7.717322e-06,8.253948e-06,-7.300014e-06,-7.731643e-06
0.915,1.106289,-1.106289,-1.345884e-05,-9.642417e-06,2.173319e-05,1.495644e-05
0.92,0.4287564,-0.4287564,-4.279309e-05,-3.266501e-05,2.480515e-05,4.208824e-05
0.925,1.535756,-1.535756,-3.176219e-05,-1.17064e-05,5.94988e-06,2.515202e-06
0.93,0.1832344,-0.1832344,6.9564e-05,3.416752e-05,-3.98197e-05,-5.65637e-05
0.935,-1.224469,1.224469,0.000148011,8.881585e-05,-8.564249e-05,-0.0001516927
0.94,-1.368159,1.368159,0.000185435,0.0001003336,-0.0001081988,-0.0001762486
0.945,1.650928,-1.650928,0.0001541529,9.026765e-05,-9.563031e-05,-0.0001573003
0.95,1.723666,-1.723666,0.0001825333,0.000121805,-0.0001131051,-0.000196034
0.955,-0.1795192,0.1795192,0.0002787564,0.000176853,-0.0001804288,-0.0002774931
0.96,-0.3831873,0.3831873,0.0003713404,0.0002388575,-0.0002438873,-0.0003837461
0.965,1.461444,-1.461444,0.0004446763,0.0002764131,-0.0002820962,-0.0004537479
0.97,-1.107046,1.107046,0.0005414584,0.0003448202,-0.0003424014,-0.0005491252
0.975,-0.894727,0.894727,0.0006014613,0.0003729676,-0.0003752555,-0.0006132683
0.98,0.6433268,-0.6433268,0.000608824,0.0003760771,-0.0003832394,-0.0006115847
0.985,-0.3946051,0.3946051,0.0006124583,0.0003750971,-0.0003752132,-0.0006136933
0.99,-0.005121867,0.005121867,0.0005686388,0.0003677059,-0.0003648277,-0.0005897193
0.995,-0.1634429,0.1634429,0.0005470469,0.0003521736,-0.000339917,-0.0005628802
1.0,0.3375745,-0.3375745,0.0004982568,0.0003095392,-0.0003121926,-0.0005007819
1.005,1.407482,-1.407482,0.0004459966,0.0002868223,-0.000272257,-0.0004593795
1.01,0.09058491,-0.09058491,0.0004470273,0.0002768971,-0.0002707844,-0.0004450993
1.015,0.6439388,-0.6439388,0.0004356688,0.000272698,-0.000274476,-0.0004437128
1.02,-2.050172,2.050172,0.0004357597,0.0002646225,-0.0002677412,-0.0004303867
1.025,-0.0487184,0.0487184,0.0003585536,0.0002173916,-0.0002156885,-0.0003492203
1.03,-0.8432303,0.8432303,0.0002565959,0.0001581191,-0.0001456541,-0.0002530558
1.035,-1.218813,1.218813,0.0001044964,5.78291e-05,-6.428736e-05,-0.0001055479
1.04,-0.8781524,0.8781524,-0.0001071596,-5.923842e-05,6.196119e-05,9.280044e-05
1.045,-0.3341234,0.3341234,-0.0003137533,-0.00019737,0.0002054125,0.0003333318
1.05,0.9159025,-0.9159025,-0.0005462047,-0.0003414914,0.0003425932,0.0005538553
1.055,-1.326393,1.326393,-0.0007515968,-0.0004452216,0.0004628637,0.0007374862
1.06,0.03063149,-0.03063149,-0.0009501576,-0.0005855965,0.000594108,0.0009541204
1.065,-0.4841694,0.4841694,-0.001151232,-0.0007068042,0.0007005397,0.001127635
1.07,-0.3276731,0.3276731,-0.001326604,-0.0008199687,0.0008212516,0.001326193
1.075,1.002758,-1.002758,-0.001469444,-0.0009143192,0.0009149179,0.001483713
1.08,0.5381154,-0.5381154,-0.001552082,-0.0009624342,0.0009583874,0.001556574
1.085,1.337398,-1.337398,-0.001558462,-0.0009629135,0.0009752951,0.00157122
1.09,-0.1545057,0.1545057,-0.001478472,-0.0009022648,0.0009125667,0.001480315
1.095,-0.6959426,0.6959426,-0.001358469,-0.0008474772,0.0008519453,0.001366969
1.1,-0.2238588,0.2238588,-0.001247765,-0.0007741726,0.000782589,0.001232401
1.105,0.2424968,-0.2424968,-0.001117789,-0.0006922271,0.000690551,0.001110706
1.11,0.1765734,-0.1765734,-0.000950793,-0.0005876702,0.0005936117,0.0009491628
1.115,-1.084388,1.084388,-0.0007578613,-0.0004752504,0.0004647532,0.0007535212
1.12,0.09048978,-0.09048978,-0.0005882905,-0.0003656244,0.0003513985,0.0005840537
1.125,0.2282283,-0.2282283,-0.0004056107,-0.0002539586,0.0002467331,0.0003923721
1.13,2.517474,-2.517474,-0.000208496,-0.0001146087,0.0001219221,0.0001998655
1.135,1.876845,-1.876845,0.0001119785,6.279428e-05,-6.575997e-05,-0.0001188706
1.14,-0.8532434,0.8532434,0.000498135,0.0003021312,-0.0002961494,-0.0004903641
1.145,-0.2873834,0.2873834,0.0008256473,0.0005133832,-0.0005108766,-0.0008207609
1.15,-1.463442,1.463442,0.001112828,0.000689032,-0.0006813392,-0.001100896
1.155,-0.590707,0.590707,0.001301511,0.0008073649,-0.0008193179,-0.001325663
1.16,0.315605,-0.315605,0.001441737,0.0008972963,-0.0008915243,-0.001444379
1.165,1.205854,-1.205854,0.001559766,0.0009568869,-0.0009699153,-0.00157289
1.17,-0.7290838,0.7290838,0.001683213,0.001047074,-0.001042176,-0.001679754
1.175,-0.6541464,0.6541464,0.001735675,0.00107684,-0.001077306,-0.001745327
1.18,-2.147289,2.147289,0.001703708,0.001050013,-0.00106109,-0.001713416
1.185,-0.1626659,0.1626659,0.001558767,0.0009682389,-0.0009699935,-0.00155813
1.19,-1.062414,1.062414,0.00135871,0.0008330033,-0.0008335561,-0.001345865
1.195,-0.5294394,0.5294394,0.00107804,0.0006648115,-0.0006637209,-0.001081578
1.2,-0.8768608,0.8768608,0.0007574857,0.000460195,-0.0004630914,-0.0007347565
1.205,-0.09426255,0.09426255,0.0003578878,0.0002271076,-0.0002333205,-0.0003677648
1.21,-1.757728,1.757728,-2.055254e-05,-1.718849e-05,1.11606e-05,2.187401e-05
1.215,-1.467045,1.467045,-0.0004824215,-0.0002905973,0.0003070364,0.0004807051
1.22,2.129247,-2.129247,-0.0009621156,-0.0005983084,0.0005906795,0.0009695311
1.225,-1.287423,1.287423,-0.00136773,-0.0008447776,0.0008336919,0.001360687
1.23,-1.096786,1.096786,-0.001755016,-0.001086713,0.001081252,0.001770569
1.235,1.836914,-1.836914,-0.002145056,-0.001321813,0.001325248,0.002132173
1.24,2.905067,-2.905067,-0.002387234,-0.001476592,0.001474504,0.002387181
1.245,-1.171567,1.171567,-0.002463341,-0.00152406,0.001529803,0.002463084
1.25,-0.368249,0.368249,-0.002537204,-0.001556164,0.001559879,0.002511139
1.255,0.3415556,-0.3415556,-0.00253187,-0.001561947,0.001566566,0.002517231
1.26,1.728698,-1.728698,-0.002437956,-0.001513197,0.001516839,0.002453393
1.265,-0.9868571,0.9868571,-0.002252092,-0.00139341,0.001396571,0.002242428
1.27,-0.2452778,0.2452778,-0.002037563,-0.001269142,0.001268688,0.002023258
1.275,0.7773376,-0.7773376,-0.001796789,-0.001108025,0.001099927,0.001779903
1.28,0.4347661,-0.4347661,-0.001473432,-0.0009137082,0.0008989606,0.001465024
1.285,-0.3761561,0.3761561,-0.001097011,-0.0006826047,0.0006769492,0.001099799
1.29,-0.133823,0.133823,-0.0007187669,-0.0004445036,0.0004440402,0.0007112445
1.295,-1.374896,1.374896,-0.0003502868,-0.0002119207,0.0002120234,0.0003395663
1.3,-0.2381737,0.2381737,-1.445987e-05,-8.662507e-06,5.644064e-06,2.071277e-05
1.305,-0.2663875,0.2663875,0.0003156852,0.0001810103,-0.0001808947,-0.0002993353
1.31,0.2321699,-0.2321699,0.0005878175,0.0003551876,-0.0003608549,-0.000588903
1.315,-0.5553272,0.5553272,0.0008442932,0.0005248275,-0.0005302924,-0.0008494302
1.32,0.4715385,-0.4715385,0.001101119,0.0006624387,-0.0006700302,-0.001088032
1.325,1.012716,-1.012716,0.001302578,0.0008046648,-0.0008116029,-0.001305144
1.33,0.1554293,-0.1554293,0.001545203,0.0009448057,-0.0009465177,-0.001531042
1.335,0.3517564,-0.3517564,0.001733049,0.00106529,-0.001057961,-0.001729263
1.34,0.05315535,-0.05315535,0.001864508,0.001170467,-0.001166873,-0.001901823
1.345,8.439309e-05,-8.439309e-05,0.001989493,0.00124424,-0.001232083,-0.00199891
1.35,-0.721558,0.721558,0.002068599,0.00127684,-0.001272531,-0.00206106
1.355,0.3164943,-0.3164943,0.002061046,0.001269276,-0.001266322,-0.0020455
1.36,-0.0972866,0.0972866,0.002005751,0.001244253,-0.001238459,-0.002010248
1.365,2.093168,-2.093168,0.001914052,0.001177571,-0.001180595,-0.001901403
1.37,1.573355,-1.573355,0.001845127,0.001139237,-0.001140759,-0.001854808
1.375,0.3858466,-0.3858466,0.001800029,0.001120826,-0.001122671,-0.00181975
1.38,-0.7630572,0.7630572,0.001747826,0.001086804,-0.001079711,-0.001762844
1.385,-1.112411,1.112411,0.001600055,0.001001177,-0.0009953172,-0.001613283
1.39,1.191143,-1.191143,0.001403935,0.000871423,-0.0008638337,-0.001402198
1.395,0.2627492,-0.2627492,0.001212458,0.0007430028,-0.0007492218,-0.001191854
1.4,0.4801434,-0.4801434,0.001006241,0.0006124071,-0.0006209839,-0.0009934885
1.405,-1.744586,1.744586,0.0007666578,0.0004881259,-0.0004833548,-0.0007721996
1.41,0.9274385,-0.9274385,0.0004820242,0.0002844026,-0.0003039649,-0.0004722982
1.415,0.4544203,-0.4544203,0.0001937451,0.0001247381,-0.0001182703,-0.000202142
1.42,-1.110431,1.110431,-4.520235e-05,-3.181045e-05,3.195959e-05,5.139373e-05
1.425,-0.4715248,0.4715248,-0.0003517278,-0.0002160694,0.0002178808,0.0003433324
1.43,0.2637172,-0.2637172,-0.0006494116,-0.0004042863,0.0003961131,0.0006504735
1.435,0.0524668,-0.0524668,-0.0009135944,-0.0005714292,0.0005697265,0.0009157551
1.44,-0.2921712,0.2921712,-0.00116585,-0.0007214675,0.0007177385,0.001149028
1.445,-0.1034883,0.1034883,-0.001381369,-0.0008526187,0.0008483415,0.001379711
1.45,-0.2519774,0.2519774,-0.001578774,-0.000974593,0.0009827837,0.001591635
1.455,0.1525625,-0.1525625,-0.001732819,-0.001074981,0.001077626,0.001744954
1.46,1.471492,-1.471492,-0.001836445,-0.001133447,0.001126456,0.001840957
1.465,-2.566658,2.566658,-0.001843978,-0.001153888,0.00114193,0.001873441
1.47,-0.2368503,0.2368503,-0.001912123,-0.001180389,0.001184026,0.001907919
1.475,0.1765124,-0.1765124,-0.001929405,-0.00120044,0.00119996,0.001939594
1.48,0.295994,-0.295994,-0.001907554,-0.001180592,0.001177072,0.00190623
1.485,-0.3719146,0.3719146,-0.001820689,-0.001133441,0.001137254,0.001824749
1.49,-1.756722,1.756722,-0.00172309,-0.001057524,0.0010631,0.001717114
1.495,0.3279955,-0.3279955,-0.001622633,-0.001015159,0.001003456,0.001647066
1.5,1.72735,-1.72735,-0.001495621,-0.000933868,0.0009312461,0.001502674
1.505,-1.533861,1.533861,-0.001286934,-0.0007915879,0.00078414,0.001302691
1.51,0.863828,-0.863828,-0.001057645,-0.0006603565,0.0006602661,0.001063559
1.515,-0.3285252,0.3285252,-0.0007969919,-0.0005008794,0.0005044047,0.0008142568
